2024/02/17 10:16:42 [error] 8#8: *51 upstream sent invalid header: "NOT\x20..." while reading response header from upstream, client: 172.19.0.1, server: , request: "GET /registration/dfv HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost"
2024/02/17 10:17:05 [error] 8#8: *53 upstream sent invalid header: "NOT\x20..." while reading response header from upstream, client: 172.19.0.1, server: , request: "GET /registrationdfvdfv HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost"
2024/02/17 10:17:56 [error] 8#8: *57 upstream sent invalid header: "NOT\x20..." while reading response header from upstream, client: 172.19.0.1, server: , request: "GET /registrationdfvdfv HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost"
2024/02/17 10:18:04 [error] 8#8: *57 upstream sent invalid header: "NOT\x20..." while reading response header from upstream, client: 172.19.0.1, server: , request: "GET /registrationdfvdfv HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost"
2024/02/17 10:19:19 [error] 10#10: *65 upstream sent invalid header: "NOT\x20..." while reading response header from upstream, client: 172.19.0.1, server: , request: "GET /registrationdfvdfv HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost"
2024/02/17 10:19:48 [error] 10#10: *67 upstream sent invalid header: "NOT\x20..." while reading response header from upstream, client: 172.19.0.1, server: , request: "GET /registrationdfvdfv HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost"
2024/02/17 10:21:50 [error] 10#10: *77 upstream sent invalid header: "NOT\x20..." while reading response header from upstream, client: 172.19.0.1, server: , request: "GET /registrationdfvdfv HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost"
2024/02/17 10:23:37 [error] 10#10: *81 upstream sent invalid header: "NOT\x20..." while reading response header from upstream, client: 172.19.0.1, server: , request: "GET /registrationdfvdfv HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost"
2024/02/17 10:25:24 [error] 10#10: *91 upstream sent invalid header: "NOT\x20..." while reading response header from upstream, client: 172.19.0.1, server: , request: "GET /registrationdfvdfv HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost"
2024/02/17 10:26:28 [error] 9#9: *96 upstream sent invalid header: "NOT\x20..." while reading response header from upstream, client: 172.19.0.1, server: , request: "GET /registration/sdc HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost"
2024/02/17 10:30:20 [error] 9#9: *105 upstream sent invalid header: "NOT\x20..." while reading response header from upstream, client: 172.19.0.1, server: , request: "GET /registration/sdc HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost"
2024/02/17 10:32:31 [error] 9#9: *109 upstream sent invalid header: "NOT\x20..." while reading response header from upstream, client: 172.19.0.1, server: , request: "GET /registration/sdc HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost"
2024/02/17 10:34:38 [error] 7#7: *113 upstream sent invalid header: "NOT\x20..." while reading response header from upstream, client: 172.19.0.1, server: , request: "GET /registration/sdc HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost"
2024/02/17 10:35:11 [error] 7#7: *116 upstream sent invalid header: "NOT\x20..." while reading response header from upstream, client: 172.19.0.1, server: , request: "GET /registration/sdc HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost"
2024/02/17 10:35:52 [error] 7#7: *120 upstream sent invalid header: "NOT\x20..." while reading response header from upstream, client: 172.19.0.1, server: , request: "GET /registration/sdc HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost"
2024/02/17 10:37:07 [error] 7#7: *122 upstream sent invalid header: "NOT\x20..." while reading response header from upstream, client: 172.19.0.1, server: , request: "GET /registration/sdc HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost"
2024/02/17 10:40:57 [error] 7#7: *126 upstream sent invalid header: "NOT\x20..." while reading response header from upstream, client: 172.19.0.1, server: , request: "GET /registration/sdc HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost"
